 N#  STAT PH  dTime W1 W2     dZ    dLa    dLo    Mag SEED_name 
 36 VANGO  P   0.03  0  0  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VANGO  S  -0.34  2  2  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VAVUN  P   0.16  0  1  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VBUTM  P  -0.13  0  2  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VBUTM  S  -0.12  2  2  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VIRHO  P  -0.04  0  1  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VKOLH  P   0.05  2  1  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VLEBE  P   0.01  0  1  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VLEBE  S   0.11  1  1  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 36 VTURT  P   0.00  2  0  -16.2   17.6   11.2    2.0 2008-06-01-0658-22S.VNRC__100_MSEED 
 37 OS03   P   0.03  0  0  999.0  999.0  999.0    2.5 2008-06-01-0707-13S.VNRC__100_MSEED 
 37 OS08   P  -0.07  0  1  999.0  999.0  999.0    2.5 2008-06-01-0707-13S.VNRC__100_MSEED 
 37 OS09   P  -0.06  0  1  999.0  999.0  999.0    2.5 2008-06-01-0707-13S.VNRC__100_MSEED 
 37 OS10   P  -0.34  0  2  999.0  999.0  999.0    2.5 2008-06-01-0707-13S.VNRC__100_MSEED 
 38 VAVUN  P   0.07  1  2   -6.7   -5.4   -1.9    2.0 2008-06-01-0710-02S.VNRC__100_MSEED 
 38 VBUTM  P  -0.03  0  1   -6.7   -5.4   -1.9    2.0 2008-06-01-0710-02S.VNRC__100_MSEED 
 38 VBUTM  S  -1.08  1  2   -6.7   -5.4   -1.9    2.0 2008-06-01-0710-02S.VNRC__100_MSEED 
 38 VIRHO  P   0.04  1  1   -6.7   -5.4   -1.9    2.0 2008-06-01-0710-02S.VNRC__100_MSEED 
 38 VLEBE  P   0.02  1  1   -6.7   -5.4   -1.9    2.0 2008-06-01-0710-02S.VNRC__100_MSEED 
 38 VPOTO  P   0.06  2  1   -6.7   -5.4   -1.9    2.0 2008-06-01-0710-02S.VNRC__100_MSEED 
